date,game,session,winning_numbers,bonus_ball,powerball,megaball,cash_ball
2021-02-07,Cash4Life,,01 07 16 44 47,,,,2.0
2021-02-08,Cash4Life,,19 27 33 57 59,,,,1.0
2021-02-09,Cash4Life,,27 35 38 52 57,,,,2.0
2021-02-10,Cash4Life,,15 39 58 63 67,,,,7.0
2021-02-11,Cash4Life,,08 09 24 32 36,,,,2.0
2021-02-12,Cash4Life,,30 37 40 58 60,,,,3.0
2021-02-13,Cash4Life,,20 28 33 63 68,,,,20.0
2021-02-14,Cash4Life,,16 22 50 52 57,,,,4.0
2021-02-15,Cash4Life,,08 18 21 28 46,,,,3.0
2021-02-16,Cash4Life,,01 36 44 54 66,,,,10.0
2021-02-17,Cash4Life,,03 12 39 52 57,,,,4.0
2021-02-18,Cash4Life,,20 27 32 41 55,,,,2.0
2021-02-19,Cash4Life,,27 32 47 50 53,,,,4.0
2021-02-20,Cash4Life,,06 36 49 51 54,,,,3.0
2021-02-21,Cash4Life,,06 09 44 51 54,,,,2.0
2021-02-22,Cash4Life,,21 22 24 28 41,,,,4.0
2021-02-23,Cash4Life,,05 07 09 20 57,,,,15.0
2021-02-24,Cash4Life,,04 33 43 53 65,,,,21.0
2021-02-25,Cash4Life,,06 08 47 52 54,,,,3.0
2021-02-26,Cash4Life,,12 16 32 36 51,,,,4.0
2021-02-27,Cash4Life,,08 18 33 38 53,,,,1.0
2021-02-28,Cash4Life,,02 16 23 48 60,,,,4.0
2021-03-01,Cash4Life,,01 07 45 50 53,,,,2.0
2021-03-02,Cash4Life,,26 44 49 51 54,,,,1.0
2021-03-03,Cash4Life,,21 40 44 50 55,,,,16.0
2021-03-04,Cash4Life,,27 40 42 55 57,,,,4.0
2021-03-05,Cash4Life,,10 11 17 27 54,,,,20.0
2021-03-06,Cash4Life,,11 31 50 52 58,,,,18.0
2021-03-07,Cash4Life,,21 26 39 55 57,,,,3.0
2021-03-08,Cash4Life,,10 17 26 51 52,,,,1.0
2021-03-09,Cash4Life,,06 16 25 40 49,,,,1.0
2021-03-10,Cash4Life,,03 05 18 28 31,,,,2.0
2021-03-11,Cash4Life,,09 19 26 27 57,,,,2.0
2021-03-12,Cash4Life,,02 24 25 31 65,,,,18.0
2021-03-13,Cash4Life,,05 11 51 56 61,,,,2.0
